id,region_name_uz,region_name_en,region_name_ru
1,Qoraqalpog‘iston Respublikasi,Qoraqalpog‘iston Respubliс,Республика Каракалпакстан
2,Andijon viloyati,Andijan region,Андижанская область
3,Buxoro viloyati,Buxoro region,Бухарская область
4,Farg‘ona viloyati,Farg‘ona region,Ферганская область
5,Jizzax viloyati,Jizzax region,Джизакская область
6,Namangan viloyati,Namangan region,Наманганская область
7,Navoiy viloyati,Navoiy region,Навоийская область
8,Qashqadaryo viloyati,Qashqadaryo region,Кашкадарьинская область
9,Samarqand viloyati,Samarqand region,Самаркандская область
10,Sirdaryo viloyati,Sirdaryo region,Сырдарьинская область
11,Surxondaryo viloyati,Surxondaryo region,Сурхандарьинская область
12,Toshkent shahri,Toshkent shahri,город Ташкент
13,Toshkent viloyati,Toshkent region,Ташкентская область
14,Xorazm viloyati,Xorazm region,Хорезмская область
15,Rossiya federatsiyasi,Russian Federation,Российская Федерация
