#,theme
1,Multimedia ma'lumotlar bazasi faniga kirish
2,Multimedia ma'lumotlar modeli tushunchasi
3,Multimedia MB loyihalashda relyatsion yondoshuv
4,Multimedia MB so'rovlari
5,Multimediali ma'lumotlarni izlash
6,Multimediali ma'lumotlar bazasini tashkil qilish
7,Suratlarni ma'lumotlar bazasida saqlash
8,Videoni ma'lumotlar bazasida saqlash
9,Audioni ma'lumotlar bazasida saqlash
10,XML va XML-ma'lumotlar bazasi
11,Katta hajmli ob'ektlarni tashkil qilish va boshqarish
12,Ko'p o'lchamli ma'lumotlar strukturasi
